#,team,S,G,U,N,Tore,Dif,Pkt
1,BFC Preussen II,17,13,2,2,49:28,21,2.4
2,BFC Meteor 06,8,5,0,3,24:15,9,1.9
3,Köpenicker FC,7,4,1,2,20:15,5,1.9
4,FC Viktoria 1889 Berlin II,16,9,2,5,48:36,12,1.8
5,Berliner SV 1892,10,5,1,4,19:18,1,1.6
6,TSV Rudow Berlin,6,2,3,1,10:8,2,1.5
7,Türkiyemspor Berlin,6,3,0,3,11:11,0,1.5
8,SC Borsigwalde 1910,19,6,8,5,42:39,3,1.4
9,FC Internationale Berlin 1980,14,5,3,6,36:26,10,1.3
10,BSV Eintracht Mahlsdorf II,12,4,3,5,25:27,-2,1.2
11,BSV Al-Dersimspor,19,6,4,9,28:40,-12,1.2
12,FSV Berolina Stralau 1901,17,5,4,8,29:38,-9,1.1
13,VfB Concordia Britz 1916,3,1,0,2,6:13,-7,1
14,Berliner SC II,14,4,2,8,16:24,-8,1
15,SV Empor Berlin II,17,2,8,7,30:46,-16,0.8
16,SV Stern Britz 1889,6,0,1,5,6:18,-12,0.2
