#,team,S,G,U,N,Tore,Dif,Pkt
1,Berliner SV 1892,14,11,0,3,39:13,26,2.4
2,BFC Meteor 06,3,2,1,0,7:4,3,2.3
3,TSV Rudow Berlin,3,2,1,0,5:3,2,2.3
4,BSV Eintracht Mahlsdorf II,3,2,0,1,9:5,4,2
5,FSV Berolina Stralau 1901,6,3,1,2,11:11,0,1.7
6,Köpenicker FC,17,6,4,7,40:31,9,1.3
7,Türkiyemspor Berlin,17,6,4,7,28:26,2,1.3
8,SC Borsigwalde 1910,3,1,1,1,3:6,-3,1.3
9,FC Internationale Berlin 1980,4,1,2,1,5:4,1,1.2
10,Berliner SC II,6,1,3,2,12:6,6,1
11,FC Viktoria 1889 Berlin II,4,1,1,2,7:8,-1,1
12,BFC Preussen II,3,1,0,2,6:10,-4,1
13,BSV Al-Dersimspor,3,0,1,2,3:13,-10,0.3
14,VfB Concordia Britz 1916,4,0,1,3,3:19,-16,0.2
15,SV Empor Berlin II,2,0,0,2,2:5,-3,0
16,SV Stern Britz 1889,3,0,0,3,0:17,-17,0
