#,team,S,G,U,N,Tore,Dif,Pkt
1,BFC Meteor 06,2,2,0,0,5:2,3,3
2,Berliner SV 1892,13,10,0,3,35:13,22,2.3
3,TSV Rudow Berlin,3,2,1,0,5:3,2,2.3
4,BSV Eintracht Mahlsdorf II,3,2,0,1,9:5,4,2
5,SC Borsigwalde 1910,2,1,1,0,3:2,1,2
6,FSV Berolina Stralau 1901,5,2,1,2,9:11,-2,1.4
7,Köpenicker FC,16,6,3,7,38:29,9,1.3
8,Türkiyemspor Berlin,16,6,3,7,27:25,2,1.3
9,FC Viktoria 1889 Berlin II,3,1,1,1,7:6,1,1.3
10,FC Internationale Berlin 1980,4,1,2,1,5:4,1,1.2
11,BFC Preussen II,3,1,0,2,6:10,-4,1
12,Berliner SC II,5,0,3,2,3:6,-3,0.6
13,VfB Concordia Britz 1916,4,0,1,3,3:19,-16,0.2
14,SV Empor Berlin II,2,0,0,2,2:5,-3,0
15,SV Stern Britz 1889,2,0,0,2,0:8,-8,0
16,BSV Al-Dersimspor,2,0,0,2,2:12,-10,0
