scorer,team,opponent,minute,score
Köhne,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,15,1:0
Lopes de Oliveira,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,61,2:0
Geurts,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,80,3:0
Tomczak,VSG Altglienicke II,TSV Rudow Berlin,33,1:0
Tomczak,VSG Altglienicke II,TSV Rudow Berlin,60,2:0
El Sadani,VSG Altglienicke II,TSV Rudow Berlin,88,3:0
Sommer,VfB Fortuna Biesdorf,FSV Spandauer Kickers,15,1:0
Albrecht,SV Empor Berlin,Füchse Berlin,26,1:2
Albrecht,SV Empor Berlin,Füchse Berlin,75,2:4
Kyere,Frohnauer SC,SFC Stern 1900,13,1:0
Kyere,Frohnauer SC,SFC Stern 1900,22,2:0
Ceesay,Frohnauer SC,SFC Stern 1900,28,3:0
Neumann,Berliner SC,SC Charlottenburg,69,1:1
Cheung,Berliner SC,SC Charlottenburg,71,2:1
Lorenz,Berliner SC,SC Charlottenburg,88,3:1
Niederau,SV BW Hohen Neuendorf,SSC Südwest 1947,29,1:0
Röttgen,SV BW Hohen Neuendorf,SSC Südwest 1947,64,2:1
Soine,SV BW Hohen Neuendorf,SSC Südwest 1947,88,3:1
Förster,SC Staaken 1919,Berlin Türkspor,38,1:1
Bahceci,SC Staaken 1919,Berlin Türkspor,88,2:3
Senocak,TSV Mariendorf 1897,1. FC Wilmersdorf,8,1:0
Haj Youssef,TSV Rudow Berlin,VSG Altglienicke II,90,3:1
Tastan,FSV Spandauer Kickers,VfB Fortuna Biesdorf,18,1:1
Montoya,FSV Spandauer Kickers,VfB Fortuna Biesdorf,76,2:2
Sunday,Füchse Berlin,SV Empor Berlin,9,0:1
Sunday,Füchse Berlin,SV Empor Berlin,17,0:2
Bushaj,Füchse Berlin,SV Empor Berlin,55,1:3
Eigentor,Füchse Berlin,SV Empor Berlin,63,1:4
Thurau,SFC Stern 1900,Frohnauer SC,82,3:1
Hörschlein,SC Charlottenburg,Berliner SC,51,0:1
Olsowski,SSC Südwest 1947,SV BW Hohen Neuendorf,39,1:1
Heymann,Berlin Türkspor,SC Staaken 1919,18,0:1
Kahraman,Berlin Türkspor,SC Staaken 1919,43,1:2
Vassiliadis,Berlin Türkspor,SC Staaken 1919,72,1:3
Kupfer,1. FC Wilmersdorf,TSV Mariendorf 1897,71,1:1
Cinar,1. FC Wilmersdorf,TSV Mariendorf 1897,73,1:2
Russo,1. FC Wilmersdorf,SV BW Hohen Neuendorf,90,1:1
Sondermann,Polar Pinguin Berlin,SV Empor Berlin,83,1:2
Sondermann,Polar Pinguin Berlin,SV Empor Berlin,90,2:3
Schwabe,Polar Pinguin Berlin,SV Empor Berlin,90,3:3
Tastan,FSV Spandauer Kickers,Berliner SC,16,1:0
Uzan,FSV Spandauer Kickers,Berliner SC,56,2:1
Musiol,TSV Rudow Berlin,Frohnauer SC,45,1:1
Mundt,TSV Rudow Berlin,Frohnauer SC,83,2:1
Zardoshtian,Berlin Türkspor,VfB Fortuna Biesdorf,42,1:0
Kapan,Berlin Türkspor,VfB Fortuna Biesdorf,50,2:0
Eigentor,Berlin Türkspor,VfB Fortuna Biesdorf,76,3:0
Turan,Berlin Türkspor,VfB Fortuna Biesdorf,84,4:0
Maykowski,SC Charlottenburg,Füchse Berlin,45,1:0
Sen,SFC Stern 1900,TSV Mariendorf 1897,75,1:1
Gantzberg,SFC Stern 1900,TSV Mariendorf 1897,76,2:1
Fäßler,SFC Stern 1900,TSV Mariendorf 1897,84,3:1
Kohls,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,14,0:1
Lopes de Oliveira,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,33,0:2
Lopes de Oliveira,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,45,0:3
Geurts,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,85,0:4
Przesang,SV BW Hohen Neuendorf,1. FC Wilmersdorf,14,0:1
Soine,SV BW Hohen Neuendorf,1. FC Wilmersdorf,90,1:2
Zander,SV Empor Berlin,Polar Pinguin Berlin,18,0:1
Q. Albrecht,SV Empor Berlin,Polar Pinguin Berlin,23,0:2
Q. Albrecht,SV Empor Berlin,Polar Pinguin Berlin,87,1:3
Ngah,Berliner SC,FSV Spandauer Kickers,42,1:1
Youssef,Frohnauer SC,TSV Rudow Berlin,3,0:1
Günther,Frohnauer SC,TSV Rudow Berlin,90,2:2
Haj Youssef,VfB Fortuna Biesdorf,Berlin Türkspor,90,4:1
Sunday,Füchse Berlin,SC Charlottenburg,53,1:1
Yildirim,Füchse Berlin,SC Charlottenburg,90,1:2
