scorer,team,opponent,minute,score
Abou-Chaker,BFC Preussen II,SC Borsigwalde,90,1:3
Paya,FC Internationale Berlin,Berlin Hilalspor,9,1:0
Nieto,FC Internationale Berlin,Berlin Hilalspor,36,2:1
Nieto,FC Internationale Berlin,Berlin Hilalspor,53,3:1
Paya,FC Internationale Berlin,Berlin Hilalspor,53,4:1
Nieto,FC Internationale Berlin,Berlin Hilalspor,56,5:1
Paya,FC Internationale Berlin,Berlin Hilalspor,59,6:1
Stanley,FC Internationale Berlin,Berlin Hilalspor,90,7:2
Einspannier,Berliner SC II,Berolina Mitte,21,1:0
Niedenhoff,Berliner SC II,Berolina Mitte,61,2:1
Einspannier,Berliner SC II,Berolina Mitte,84,3:1
Joseski,Berliner SC II,Berolina Mitte,90,4:1
Al-Khalaf,Friedenauer TSC,SC Berliner Amateure,9,1:0
Al-Khalaf,Friedenauer TSC,SC Berliner Amateure,42,2:0
Gandert,Friedenauer TSC,SC Berliner Amateure,90,3:1
Schirp,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,19,1:0
Scarlett,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,32,2:0
Grunert,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,59,3:0
Busche,BSV 1892,DJK SW Neukölln 1920 e.V.,7,1:0
Malik,BSV 1892,DJK SW Neukölln 1920 e.V.,52,2:0
S. Uzun,1.FC Schöneberg,SV Empor Berlin II,24,1:1
E. Uzun,1.FC Schöneberg,SV Empor Berlin II,32,2:1
Demir,1.FC Schöneberg,SV Empor Berlin II,36,3:1
Nhacuonga,1.FC Schöneberg,SV Empor Berlin II,47,4:1
E. Uzun,1.FC Schöneberg,SV Empor Berlin II,50,5:1
Cabuk,1.FC Schöneberg,SV Empor Berlin II,80,6:2
"Eigentor, 2:0 (11.) U. Yüksek",BSV Hürtürkel,SF Johannisthal,7,1:0
Bubner,SC Borsigwalde,BFC Preussen II,19,0:1
Knaack,SC Borsigwalde,BFC Preussen II,42,0:2
Dniel Nzongo,SC Borsigwalde,BFC Preussen II,86,0:3
Chawraba,Berlin Hilalspor,FC Internationale Berlin,27,1:1
O. Ekmekci,Berlin Hilalspor,FC Internationale Berlin,79,6:2
Wiegand,Berolina Mitte,Berliner SC II,47,1:1
Barfod,SC Berliner Amateure,Friedenauer TSC,74,2:1
Ruden,DJK SW Neukölln 1920 e.V.,BSV 1892,60,2:1
Guski,DJK SW Neukölln 1920 e.V.,BSV 1892,62,2:2
Kühn,DJK SW Neukölln 1920 e.V.,BSV 1892,76,2:3
Hoeri,DJK SW Neukölln 1920 e.V.,BSV 1892,90,2:4
Tuckerman,SV Empor Berlin II,1.FC Schöneberg,3,0:1
Bochnia,SV Empor Berlin II,1.FC Schöneberg,65,5:2
Lüdtke,SF Johannisthal,BSV Hürtürkel,64,1:2
Lüdtke,SF Johannisthal,BSV Hürtürkel,71,2:2
Lüdtke,SF Johannisthal,BSV Hürtürkel,76,2:3
Ferl,SF Johannisthal,BSV Hürtürkel,84,2:4
