#,team,S,G,U,N,Tore,Dif,Pkt
1,SF Johannisthal,3,3,0,0,16:2,14,9
2,FC Internationale Berlin,3,3,0,0,15:3,12,9
3,BSV 1892,3,2,0,1,11:5,6,6
4,1.FC Schöneberg,3,2,0,1,11:8,3,6
5,SC Borsigwalde,3,2,0,1,5:3,2,6
6,Friedenauer TSC,3,2,0,1,6:7,-1,6
7,Berliner SC II,3,2,0,1,6:9,-3,6
8,BFC Preussen II,3,1,0,2,5:7,-2,3
9,BSV Hürtürkel,3,1,0,2,7:10,-3,3
10,DJK Schwarz-Weiß Neukölln,3,1,0,2,4:7,-3,3
11,SV Empor Berlin II,3,1,0,2,6:9,-3,3
12,Berlin Hilalspor,3,1,0,2,6:10,-4,3
13,Berolina Mitte,3,1,0,2,6:10,-4,3
14,Pfeffersport,3,1,0,2,4:8,-4,3
15,SC Berliner Amateure,3,0,1,2,3:8,-5,1
16,SF Charlottenburg-Wilmersdorf 03,3,0,1,2,2:7,-5,1
